f1,f2,f3,f4,f5
-0.0004,-0.0123,1.2376,1.1823,-0.0010
0.0056,0.1992,2.3488,1.3590,0.0133
0.0167,0.2847,1.5150,1.1467,0.0359
0.0020,0.0102,1.2374,1.5605,0.0052
0.0168,0.4724,4.8364,2.4115,0.0574
0.0019,0.2728,3.1832,0.2512,0.0024
0.0073,0.2421,2.6203,0.7557,0.0128
0.0114,0.2211,2.7716,0.7389,0.0198
0.0258,0.3060,2.3955,0.9533,0.0504
0.0017,0.5435,1.3511,2.2220,0.0056
0.0113,0.2968,2.6330,0.7332,0.0196
0.0031,0.2968,3.5997,2.7362,0.0115
0.0118,0.2512,3.5325,2.2528,0.0382
0.0153,0.2543,1.6590,0.8180,0.0279
0.0969,0.2324,0.2101,0.7728,0.1717
0.0103,2.0142,1.3019,2.1098,0.0322
0.0134,0.2566,5.3942,1.2773,0.0305
0.0416,1.2956,1.1677,1.8063,0.1168
0.0014,0.0372,1.0009,2.3872,0.0047
0.0133,0.2921,0.9893,0.3450,0.0179
